"","Classification","Year","Period","Period_Desc_","Aggregate_Level","Is_Leaf_Code","Trade_Flow_Code","Trade_Flow","Reporter_Code","Reporter","Reporter_ISO","Partner_Code","Partner","Partner_ISO","X2nd_Partner_Code","X2nd_Partner","X2nd_Partner_ISO","Customs_Proc__Code","Customs","Mode_of_Transport_Code","Mode_of_Transport","Commodity_Code","Commodity","Qty_Unit_Code","Qty_Unit","Qty","Alt_Qty_Unit_Code","Alt_Qty_Unit","Alt_Qty","Netweight__kg_","Gross_weight__kg_","Trade_Value__US__","CIF_Trade_Value__US__","FOB_Trade_Value__US__","Flag"
"16","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,1122218770,NA,1122218770,NA,7214408155,NA,NA,0
"17","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",251,"France","FRA",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,14075988,NA,14075988,NA,104722721,NA,NA,0
"18","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",276,"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,49985,NA,49985,NA,320457,NA,NA,0
"19","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",381,"Italy","ITA",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,405772184,NA,405772184,NA,2265666358,NA,NA,0
"20","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",478,"Mauritania","MRT",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,7352745,NA,7352745,NA,52823542,NA,NA,0
"21","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",504,"Morocco","MAR",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,16234369,NA,16234369,NA,141501519,NA,NA,0
"22","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",620,"Portugal","PRT",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,43161839,NA,43161839,NA,318282916,NA,NA,0
"23","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",724,"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,535105684,NA,535105684,NA,3507151738,NA,NA,0
"24","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",788,"Tunisia","TUN",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,90980802,NA,90980802,NA,756223172,NA,NA,0
"25","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",826,"United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,9428994,NA,9428994,NA,67290108,NA,NA,0
