"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"32","Algeria:DZA","United Kingdom:GBR",303471852,1153615368,"DZA","GBR","Natural gas, liquefied",2010
"33","Algeria:DZA","France:FRA",73,5,"DZA","FRA","Natural gas, in gaseous state",2010
"34","Algeria:DZA","Germany:DEU",63410717,183541280,"DZA","DEU","Natural gas, in gaseous state",2010
"35","Algeria:DZA","Iceland:ISL",481895163,1368371339,"DZA","ISL","Natural gas, in gaseous state",2010
"36","Algeria:DZA","Italy:ITA",6463591727,48745075150,"DZA","ITA","Natural gas, in gaseous state",2010
"37","Algeria:DZA","Netherlands:NLD",505543391,1301662855,"DZA","NLD","Natural gas, in gaseous state",2010
"38","Algeria:DZA","Niger:NER",9436265,1599413745,"DZA","NER","Natural gas, in gaseous state",2010
"39","Algeria:DZA","Portugal:PRT",586851513,2308916334,"DZA","PRT","Natural gas, in gaseous state",2010
"40","Algeria:DZA","Slovenia:SVN",55310958,189289744,"DZA","SVN","Natural gas, in gaseous state",2010
"41","Algeria:DZA","Spain:ESP",1892000216,8094001750,"DZA","ESP","Natural gas, in gaseous state",2010
"42","Algeria:DZA","Switzerland:CHE",107361745,316450303,"DZA","CHE","Natural gas, in gaseous state",2010
"43","Algeria:DZA","Tunisia:TUN",292145751,2896127475,"DZA","TUN","Natural gas, in gaseous state",2010
"44","Algeria:DZA","Turkey:TUR",118554144,377562016,"DZA","TUR","Natural gas, in gaseous state",2010
"45","Algeria:DZA","Egypt:EGY",7961612,24219628,"DZA","EGY","Natural gas, in gaseous state",2010
"46","Algeria:DZA","Belgium:BEL",782627018,3279671183,"DZA","BEL","Natural gas, liquefied",2005
"47","Algeria:DZA","France:FRA",1580096399,5966649303,"DZA","FRA","Natural gas, liquefied",2005
"48","Algeria:DZA","Greece:GRC",96799143,283614019,"DZA","GRC","Natural gas, liquefied",2005
"49","Algeria:DZA","Italy:ITA",609366043,2146715114,"DZA","ITA","Natural gas, liquefied",2005
